                        conname                        | contype |        table_name         
 role_permissions_permission_id_fkey                   | f       | role_permissions
 role_permissions_pkey                                 | p       | role_permissions
 role_permissions_role_id_fkey                         | f       | role_permissions
 roles_name_key                                        | u       | roles
 roles_pkey                                            | p       | roles
 session_logs_pkey                                     | p       | session_logs
 templates_contrato_nome_key                           | u       | templates_contrato
 templates_contrato_pkey                               | p       | templates_contrato
 templates_contrato_tipo_template_check                | c       | templates_contrato
 tokens_retomada_pagamento_pkey                        | p       | tokens_retomada_pagamento
 tokens_retomada_pagamento_token_key                   | u       | tokens_retomada_pagamento
 unique_clinica_config                                 | u       | clinica_configuracoes
 unique_traducao                                       | u       | notificacoes_traducoes
 usuarios_clinica_id_fkey                              | f       | usuarios
 usuarios_cpf_check                                    | c       | usuarios
 usuarios_cpf_key                                      | u       | usuarios
 usuarios_entidade_id_fkey                             | f       | usuarios
 usuarios_gestor_check                                 | c       | usuarios
 usuarios_pkey                                         | p       | usuarios
 usuarios_tipo_check                                   | c       | usuarios
(214 linhas)

