                  indexname                  |         tablename         
 idx_auditoria_criado_em                     | auditoria
 idx_auditoria_entidade                      | auditoria
 idx_auditoria_geral_cpf                     | auditoria_geral
 idx_auditoria_geral_criado_em               | auditoria_geral
 idx_auditoria_geral_tabela                  | auditoria_geral
 idx_auditoria_laudos_criado                 | auditoria_laudos
 idx_auditoria_laudos_lote                   | auditoria_laudos
 idx_auditoria_laudos_lote_acao              | auditoria_laudos
 idx_auditoria_laudos_lote_history           | auditoria_laudos
 idx_auditoria_laudos_pending_queue          | auditoria_laudos
 idx_auditoria_laudos_solicitado_por         | auditoria_laudos
 idx_auditoria_laudos_solicitante_criado     | auditoria_laudos
 idx_auditoria_laudos_unique_solicitation    | auditoria_laudos
 idx_auditoria_recibos_criado                | auditoria_recibos
 idx_auditoria_recibos_recibo                | auditoria_recibos
 idx_auditoria_usuario                       | auditoria
 idx_avaliacao_resets_created_at             | avaliacao_resets
 idx_avaliacao_resets_lote_id                | avaliacao_resets
 idx_avaliacao_resets_requested_by           | avaliacao_resets
 idx_avaliacao_resets_unique_per_lote        | avaliacao_resets
 idx_avaliacoes_funcionario                  | avaliacoes
 idx_avaliacoes_funcionario_cpf              | avaliacoes
 idx_avaliacoes_funcionario_status           | avaliacoes
 idx_avaliacoes_inativada_em                 | avaliacoes
 idx_avaliacoes_lote                         | avaliacoes
 idx_avaliacoes_lote_id                      | avaliacoes
 idx_avaliacoes_lote_status                  | avaliacoes
 idx_avaliacoes_status                       | avaliacoes
 idx_clinica_configuracoes_clinica           | clinica_configuracoes
 idx_clinicas_ativa                          | clinicas
 idx_clinicas_cnpj                           | clinicas
 idx_clinicas_empresas_clinica               | clinicas_empresas
 idx_clinicas_empresas_empresa               | clinicas_empresas
 idx_clinicas_senhas_clinica                 | clinicas_senhas
 idx_clinicas_senhas_clinica_id              | clinicas_senhas
 idx_clinicas_senhas_cpf                     | clinicas_senhas
 idx_contratacao_personalizada_contratante   | contratacao_personalizada
 idx_contratacao_personalizada_token         | contratacao_personalizada
 idx_contratantes_aprovado_em                | entidades
 idx_contratantes_ativa                      | entidades
 idx_contratantes_cnpj                       | entidades
 idx_contratantes_contrato_aceito            | entidades
 idx_contratantes_data_liberacao             | entidades
 idx_contratantes_senhas_contratante         | entidades_senhas
 idx_contratantes_senhas_contratante_id      | entidades_senhas
 idx_contratantes_senhas_cpf                 | entidades_senhas
 idx_contratantes_status                     | entidades
 idx_contratantes_status_data_cadastro       | entidades
 idx_contratantes_tipo                       | entidades
 idx_contratantes_tipo_ativa                 | entidades
 idx_contratantes_tipo_status_ativa          | entidades
 idx_contratos_contratante                   | contratos
 idx_contratos_contratante_id                | contratos
 idx_contratos_data_pagamento                | contratos_planos
 idx_contratos_modalidade_pagamento          | contratos_planos
 idx_contratos_numero_funcionarios           | contratos
 idx_contratos_planos_clinica                | contratos_planos
 idx_contratos_planos_contratante            | contratos_planos
 idx_contratos_status                        | contratos
 idx_contratos_tipo_pagamento                | contratos_planos
 idx_contratos_valor_personalizado           | contratos
 idx_emissao_queue_proxima_execucao          | emissao_queue
 idx_empresas_ativa                          | empresas_clientes
 idx_empresas_clientes_clinica_id            | empresas_clientes
 idx_empresas_clinica                        | empresas_clientes
 idx_empresas_clinica_ativa                  | empresas_clientes
 idx_empresas_cnpj                           | empresas_clientes
 idx_entidades_senhas_cpf                    | entidades_senhas
 idx_entidades_senhas_entidade_id            | entidades_senhas
 idx_fila_emissao_lote_tentativas_pendentes  | _deprecated_fila_emissao
 idx_fila_emissao_proxima_tentativa          | _deprecated_fila_emissao
 idx_fila_emissao_solicitado_em              | _deprecated_fila_emissao
 idx_fila_emissao_solicitado_por             | _deprecated_fila_emissao
 idx_fila_emissao_solicitante_data           | _deprecated_fila_emissao
 idx_fila_emissao_tipo_solicitante           | _deprecated_fila_emissao
 idx_fila_lote                               | _deprecated_fila_emissao
 idx_fila_pendente                           | _deprecated_fila_emissao
 idx_func_clinicas_ativo                     | funcionarios_clinicas
 idx_func_clinicas_empresa                   | funcionarios_clinicas
 idx_func_clinicas_funcionario               | funcionarios_clinicas
 idx_func_entidades_ativo                    | funcionarios_entidades
 idx_func_entidades_contratante              | funcionarios_entidades
 idx_func_entidades_funcionario              | funcionarios_entidades
 idx_funcionarios_clinica                    | funcionarios
 idx_funcionarios_clinica_empresa            | funcionarios
 idx_funcionarios_clinica_id                 | funcionarios
 idx_funcionarios_clinica_perfil_ativo       | funcionarios
 idx_funcionarios_contratante_id             | funcionarios
 idx_funcionarios_cpf_clinica_perfil         | funcionarios
 idx_funcionarios_cpf_perfil_ativo           | funcionarios
 idx_funcionarios_data_ultimo_lote           | funcionarios
 idx_funcionarios_empresa                    | funcionarios
 idx_funcionarios_indice_avaliacao           | funcionarios
 idx_funcionarios_matricula                  | funcionarios
 idx_funcionarios_nivel_cargo                | funcionarios
 idx_funcionarios_nome                       | funcionarios
 idx_funcionarios_pendencias                 | funcionarios
 idx_funcionarios_perfil                     | funcionarios
 idx_funcionarios_perfil_entities            | funcionarios
 idx_funcionarios_ultima_avaliacao           | funcionarios
 idx_funcionarios_ultima_avaliacao_status    | funcionarios
 idx_laudo_arquivos_remotos_laudo_id         | laudo_arquivos_remotos
 idx_laudo_arquivos_remotos_principal_unique | laudo_arquivos_remotos
 idx_laudo_arquivos_remotos_tipo             | laudo_arquivos_remotos
 idx_laudo_downloads_created_at              | laudo_downloads
 idx_laudo_downloads_laudo_id                | laudo_downloads
 idx_laudo_downloads_usuario                 | laudo_downloads
 idx_laudo_jobs_created_at                   | laudo_generation_jobs
 idx_laudo_jobs_status                       | laudo_generation_jobs
 idx_laudos_arquivo_remoto_key               | laudos
 idx_laudos_arquivo_remoto_sync              | laudos
 idx_laudos_criado_em                        | laudos
 idx_laudos_emissor                          | laudos
 idx_laudos_emissor_cpf                      | laudos
 idx_laudos_emissor_cpf_emitido              | laudos
 idx_laudos_emitido                          | laudos
 idx_laudos_enviado_em                       | laudos
 idx_laudos_hash                             | laudos
 idx_laudos_hash_pdf                         | laudos
 idx_laudos_id_lote_id                       | laudos
 idx_laudos_job_id                           | laudos
 idx_laudos_lote                             | laudos
 idx_laudos_lote_id                          | laudos
 idx_laudos_lote_status                      | laudos
 idx_laudos_relatorio_individual             | laudos
 idx_laudos_relatorio_lote                   | laudos
 idx_laudos_relatorio_setor                  | laudos
 idx_laudos_status                           | laudos
 idx_logs_admin_acao                         | logs_admin
 idx_logs_admin_cpf                          | logs_admin
 idx_logs_admin_criado                       | logs_admin
 idx_logs_admin_entidade                     | logs_admin
 idx_lotes_atualizado_em                     | lotes_avaliacao
 idx_lotes_avaliacao_clinica_id              | lotes_avaliacao
 idx_lotes_avaliacao_emitido_em              | lotes_avaliacao
 idx_lotes_avaliacao_empresa_id              | lotes_avaliacao
 idx_lotes_avaliacao_enviado_em              | lotes_avaliacao
 idx_lotes_avaliacao_liberado_por            | lotes_avaliacao
 idx_lotes_avaliacao_status_emitido          | lotes_avaliacao
 idx_lotes_clinica                           | lotes_avaliacao
 idx_lotes_clinica_status                    | lotes_avaliacao
 idx_lotes_emissao_em_andamento              | lotes_avaliacao
 idx_lotes_emissao_solicitada                | lotes_avaliacao
 idx_lotes_emissao_solicitada_liberado       | lotes_avaliacao
 idx_lotes_empresa                           | lotes_avaliacao
 idx_lotes_empresa_status_liberado           | lotes_avaliacao
 idx_lotes_finalizado_em                     | lotes_avaliacao
 idx_lotes_laudo_enviado                     | lotes_avaliacao
 idx_lotes_liberado_em                       | lotes_avaliacao
 idx_lotes_numero_ordem                      | lotes_avaliacao
 idx_lotes_pronto_emissao                    | lotes_avaliacao
 idx_lotes_status                            | lotes_avaliacao
 idx_lotes_status_criado                     | lotes_avaliacao
 idx_lotes_tipo_contratante                  | lotes_avaliacao
 idx_mfa_cpf_active                          | mfa_codes
 idx_notificacoes_admin_contratante          | notificacoes_admin
 idx_notificacoes_admin_criado               | notificacoes_admin
 idx_notificacoes_admin_criado_em            | notificacoes_admin
 idx_notificacoes_admin_lida                 | notificacoes_admin
 idx_notificacoes_admin_resolvida            | notificacoes_admin
 idx_notificacoes_admin_tipo                 | notificacoes_admin
 idx_notificacoes_clinica_id                 | notificacoes
 idx_notificacoes_contratacao                | notificacoes
 idx_notificacoes_criado_em                  | notificacoes
 idx_notificacoes_destinatario               | notificacoes
 idx_notificacoes_destinatario_cpf           | notificacoes
 idx_notificacoes_nao_lidas                  | notificacoes
 idx_notificacoes_resolvida                  | notificacoes
 idx_notificacoes_tipo                       | notificacoes
 idx_notificacoes_tipo_resolvida             | notificacoes
 idx_notificacoes_traducoes_chave            | notificacoes_traducoes
 idx_pagamentos_contratante                  | pagamentos
 idx_pagamentos_contratante_id               | pagamentos
 idx_pagamentos_contrato_id                  | pagamentos
 idx_pagamentos_external_transaction_id      | pagamentos
 idx_pagamentos_idempotency_key              | pagamentos
 idx_pagamentos_parcelas                     | pagamentos
 idx_pagamentos_provider_event_id            | pagamentos
 idx_pagamentos_recibo_numero                | pagamentos
 idx_pagamentos_status                       | pagamentos
 idx_payment_links_contrato_id               | payment_links
 idx_payment_links_usado                     | payment_links
 idx_pdf_jobs_created                        | pdf_jobs
 idx_pdf_jobs_recibo                         | pdf_jobs
 idx_pdf_jobs_status                         | pdf_jobs
 idx_questao_condicoes_dependente            | questao_condicoes
 idx_questao_condicoes_questao               | questao_condicoes
 idx_recibos_ativo                           | recibos
 idx_recibos_clinica                         | recibos
 idx_recibos_contratante                     | recibos
 idx_recibos_contrato                        | recibos
 idx_recibos_criado_em                       | recibos
 idx_recibos_emitido_por                     | recibos
 idx_recibos_hash_pdf                        | recibos
 idx_recibos_numero                          | recibos
 idx_recibos_pagamento                       | recibos
 idx_recibos_pagamento_parcela               | recibos
 idx_recibos_parcela_numero                  | recibos
 idx_recibos_vigencia                        | recibos
 idx_respostas_avaliacao                     | respostas
 idx_resultados_avaliacao                    | resultados
 idx_resultados_avaliacao_grupo              | resultados
 idx_resultados_grupo_dominio                | resultados
 idx_role_permissions_permission             | role_permissions
 idx_role_permissions_role                   | role_permissions
 idx_session_logs_clinica                    | session_logs
 idx_session_logs_cpf                        | session_logs
 idx_session_logs_empresa                    | session_logs
 idx_session_logs_login                      | session_logs
 idx_session_logs_logout                     | session_logs
 idx_session_logs_perfil                     | session_logs
 idx_templates_contrato_ativo                | templates_contrato
 idx_templates_contrato_padrao               | templates_contrato
 idx_templates_contrato_tipo                 | templates_contrato
 idx_tokens_retomada_contratante             | tokens_retomada_pagamento
 idx_tokens_retomada_expiracao               | tokens_retomada_pagamento
 idx_tokens_retomada_token                   | tokens_retomada_pagamento
 idx_tokens_retomada_usado                   | tokens_retomada_pagamento
 idx_usuarios_ativo                          | usuarios
 idx_usuarios_clinica_id                     | usuarios
 idx_usuarios_cpf                            | usuarios
 idx_usuarios_entidade_id                    | usuarios
 idx_usuarios_tipo_ativo                     | usuarios
 idx_usuarios_tipo_usuario                   | usuarios
 idx_vw_recibos_completos_mat_criado         | vw_recibos_completos_mat
 idx_vw_recibos_completos_mat_id             | vw_recibos_completos_mat
 idx_vw_recibos_completos_mat_numero         | vw_recibos_completos_mat
 laudo_arquivos_remotos_pkey                 | laudo_arquivos_remotos
 laudo_downloads_pkey                        | laudo_downloads
 laudo_generation_jobs_pkey                  | laudo_generation_jobs
 laudos_lote_emissor_unique                  | laudos
 laudos_lote_id_unique                       | laudos
 laudos_pkey                                 | laudos
 logs_admin_pkey                             | logs_admin
 lotes_avaliacao_empresa_numero_ordem_unique | lotes_avaliacao
 lotes_avaliacao_pkey                        | lotes_avaliacao
 mfa_codes_pkey                              | mfa_codes
 migration_guidelines_pkey                   | migration_guidelines
 notificacoes_admin_pkey                     | notificacoes_admin
 notificacoes_pkey                           | notificacoes
 notificacoes_traducoes_pkey                 | notificacoes_traducoes
 pagamentos_idempotency_key_key              | pagamentos
 pagamentos_pkey                             | pagamentos
 payment_links_pkey                          | payment_links
 payment_links_token_key                     | payment_links
 pdf_jobs_pkey                               | pdf_jobs
 pdf_jobs_recibo_id_key                      | pdf_jobs
 permissions_name_key                        | permissions
 permissions_pkey                            | permissions
 planos_pkey                                 | planos
 policy_expression_backups_pkey              | policy_expression_backups
 questao_condicoes_pkey                      | questao_condicoes
 recibos_numero_recibo_key                   | recibos
 recibos_pagamento_id_unique                 | recibos
 recibos_pkey                                | recibos
 relatorio_templates_pkey                    | relatorio_templates
 respostas_avaliacao_id_grupo_item_key       | respostas
 respostas_pkey                              | respostas
 resultados_avaliacao_id_grupo_key           | resultados
 resultados_pkey                             | resultados
 role_permissions_pkey                       | role_permissions
 roles_name_key                              | roles
 roles_pkey                                  | roles
 session_logs_pkey                           | session_logs
 templates_contrato_nome_key                 | templates_contrato
 templates_contrato_pkey                     | templates_contrato
 tokens_retomada_pagamento_pkey              | tokens_retomada_pagamento
 tokens_retomada_pagamento_token_key         | tokens_retomada_pagamento
 unique_clinica_config                       | clinica_configuracoes
 unique_traducao                             | notificacoes_traducoes
 usuarios_cpf_key                            | usuarios
 usuarios_pkey                               | usuarios
(324 linhas)

