C:\apps\QWork\components\AccountInfoContent.tsx: line 261, col 41, Warning - Arrow function has too many lines (68). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\pdf\RelatorioDownloadClient.tsx: line 20, col 8, Warning - Function 'RelatorioDownloadClient' has too many lines (144). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\pdf\RelatorioDownloadClient.tsx: line 29, col 20, Warning - Async arrow function has too many lines (75). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\pendencias\PendenciasSection.tsx: line 105, col 16, Warning - Function 'PendenciasSection' has too many lines (263). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\pendencias\PendenciasSection.tsx: line 278, col 19, Warning - Arrow function has too many lines (76). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\rh\LoteCard.tsx: line 80, col 8, Warning - Function 'LoteCard' has too many lines (184). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\rh\LoteCard.tsx: line 80, col 8, Warning - Function 'LoteCard' has a complexity of 32. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\shared\LogoUploader.tsx: line 23, col 16, Warning - Function 'LogoUploader' has too many lines (253). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\shared\PagamentoCard.tsx: line 42, col 1, Warning - Function 'ParcelasTabela' has too many lines (58). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\shared\PagamentoCard.tsx: line 109, col 8, Warning - Function 'PagamentoCard' has too many lines (56). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\shared\PagamentoCard.tsx: line 109, col 8, Warning - Function 'PagamentoCard' has a complexity of 19. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\shared\PagamentosEmAberto.tsx: line 23, col 16, Warning - Function 'PagamentosEmAberto' has too many lines (150). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\shared\PagamentosEmAberto.tsx: line 124, col 25, Warning - Arrow function has too many lines (56). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\shared\PagamentosFinanceiros.tsx: line 30, col 16, Warning - Function 'PagamentosFinanceiros' has too many lines (68). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\shared\SidebarLayout.tsx: line 18, col 16, Warning - Function 'SidebarLayout' has too many lines (90). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\suporte\ComissoesIndividuaisContent.tsx: line 24, col 8, Warning - Function 'ComissoesIndividuaisContent' has too many lines (328). Maximum allowed is 50. (max-lines-per-function)
C:\apps\QWork\components\suporte\ComissoesIndividuaisContent.tsx: line 24, col 8, Warning - Function 'ComissoesIndividuaisContent' has a complexity of 25. Maximum allowed is 15. (complexity)
C:\apps\QWork\components\suporte\RepresentantesContent.tsx: line 15, col 8, Warning - Function 'RepresentantesContent' has too many lines (130). Maximum allowed is 50. (max-lines-per-function)

165 problems
